Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_PW,Tot_SC_PW,Tot_ST_PW,Tot_BC_PW,Tot_OC_PW,Tot_LW,Tot_SC_LW,Tot_ST_LW,Tot_BC_LW,Tot_OC_LW
2025,10,RANGAREDDY,AMANGAL,Irvin,1402232,Thodelu gundu thanda,2,0,1,1,0,1,0,1,0,0
2025,10,SANGAREDDY,NARAYANKHED,Wasar,1706382,POTPALLY THANDA,5,0,5,0,0,0,0,0,0,0
2025,10,NIRMAL,KHANAPUR,Khanapur,1908001,Gandhinagar,4,4,0,0,0,5,5,0,0,0
2025,10,NIRMAL,KHANAPUR,Khanapur,2318325,adavisarangapur,0,0,0,0,0,0,0,0,0,0
2025,10,KUMARAMBHEEM-ASIFABAD,JAINOOR,Kanchanpally,1917293,Patkalmangi,2,0,2,0,0,1,0,1,0,0
2025,10,KUMARAMBHEEM-ASIFABAD,JAINOOR,Jainoor,1917075,Vikarsection Colony,7,0,1,2,4,2,0,0,2,0
2025,10,NIRMAL,KHANAPUR,Bellal,1908170,Harijanwada,7,7,0,0,0,1,1,0,0,0
2025,10,JAGITYAL,JAGITYAL,beemaram,2011268,Kalvakota - II,9,4,0,2,3,4,1,0,2,1
2025,10,YADADRI-BHUVANGIRI,RAMANNAPET (R),Varkatpally,2315100,Varkatpally-2,2,1,0,0,1,4,1,0,3,0
2025,10,NAGARKURNOOL,KOLLAPUR,Peddakarupamula,1417175,Kotha Yapatla,5,0,1,4,0,6,2,2,2,0
2025,10,NALGONDA,MIRYALAGUDA (U),ISLAMPURA,2308033,Sunder Nagar-III,7,3,0,4,0,0,0,0,0,0
2025,10,HANMAKONDA,PARKAL,Akkampet,2106263,Akkampeta - III,11,6,0,5,0,4,3,0,0,1
2025,10,SANGAREDDY,SADASIVAPET,Sangareddy,1707103,Indra Colony - I,31,4,0,24,3,16,1,1,13,1
2025,10,SANGAREDDY,SADASIVAPET,Sadasivpet ,1709189,Fayaz Nagar,43,0,0,2,41,8,1,0,0,7
2025,10,VIKARABAD,TANDUR,Gowthapur,1510027,GOWTHAPUR II,3,3,0,0,0,5,4,0,0,1
2025,10,VIKARABAD,TANDUR,Gowthapur,1510045,DASTHAGIRIPET,4,3,0,1,0,4,4,0,0,0
2025,10,VIKARABAD,TANDUR,Mambapur,1510096,RACHAKATA TANDA,7,0,6,0,1,2,0,2,0,0
2025,10,VIKARABAD,TANDUR,Mambapur,1510278,Ontimamidi Tanda,1,0,1,0,0,0,0,0,0,0
2025,10,SANGAREDDY,SADASIVAPET,Peddapur,1709040,Peddapur - I,5,0,0,2,3,3,0,0,3,0
2025,10,VIKARABAD,TANDUR,Indira Nagar,1510210,BEGGER COLONY,6,0,1,2,3,5,3,0,0,2
2025,10,ADILABAD,UTNUR,KESLAPUR,1914277,Gourapur,3,1,2,0,0,5,0,1,4,0
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Regalla,2207349,MUNYA THANDA,1,0,1,0,0,4,0,4,0,0
2025,10,ADILABAD,UTNUR,MUTHNOOR,1914126,Ginnera Markaguda,6,0,6,0,0,0,0,0,0,0
2025,10,ADILABAD,UTNUR,MUTHNOOR,1914128,Dhanora-B,6,0,0,4,2,1,0,0,1,0
2025,10,ADILABAD,UTNUR,LAKKARAM,1914175,Navodaya Nagar,7,3,0,0,4,1,0,0,0,1
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Palawancha,2208149,Vanama Colony - 1,5,1,0,4,0,5,1,1,3,0
2025,10,ADILABAD,UTNUR,DANTHANPALLY,1914075,Yellaguda,4,0,3,0,1,5,1,2,1,1
2025,10,ADILABAD,UTNUR,DANTHANPALLY,1914077,inkarguda-k,3,3,0,0,0,0,0,0,0,0
2025,10,BHADRADRI-KOTHAGUDEM,PALWANCHA,Ulvanoor,2207128,Satyanarayanapuram,2,0,0,2,0,3,0,0,2,1
2025,10,SURYAPET,SURYAPET (U),yandlapally,2317030,Yandlapalli-III,1,0,0,1,0,2,0,0,1,1
2025,10,SURYAPET,SURYAPET (U),yandlapally,2317032,Ramaram-I,5,1,0,4,0,5,3,0,2,0
2025,10,NALGONDA,CHINTAPALLY,Mahmadapur,2303126,Janthanda,1,0,1,0,0,0,0,0,0,0
2025,10,BHADRADRI-KOTHAGUDEM,DAMMAPETA,Mulakalapally,2216188,VELAKAMWARIGUMPU	 ,2,0,1,1,0,0,0,0,0,0
